StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification,IsOperationalRecord,IsMissingDescription,HasCommercialActivity,ProductMasterStatus,CommercialPriority,ReturnRiskFlag,IncludeInExecutiveAnalytics,IsNonMerchandise,IsCommercialMerchandise,ExecutiveScope,ScopeReason,RevenueShare,RevenueRank,ExecutiveProductTier
22589,CARDHOLDER GINGHAM STAR,3835.32,3789.42,1385,255,239,-45.9,18,Commercial Description,Valid,0.012,Low,0.7586,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019603042819357267,1121,Tier 4 - Long Tail
22544,MINI JIGSAW SPACEBOY,3825.3,3787.08,9541,358,343,-38.22,91,Commercial Description,Valid,0.01,Low,0.8368,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.000195909377689281,1122,Tier 4 - Long Tail
22980,PANTRY SCRUBBING BRUSH,3910.01,3785.96,2363,300,297,-124.05,81,Commercial Description,Valid,0.0317,Low,0.789,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019585143898637216,1123,Tier 4 - Long Tail
21486,PINK HEART DOTS HOT WATER BOTTLE,3786.55,3782.8,1152,311,296,-3.75,1,Commercial Description,Valid,0.001,Low,0.7484,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019568796907459365,1124,Tier 4 - Long Tail
23032,DRAWER KNOB CRACKLE GLAZE IVORY,3853.68,3777.78,2328,215,211,-75.9,46,Commercial Description,Valid,0.0197,Low,0.7878,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001954282795311987,1125,Tier 4 - Long Tail
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,3811.28,3776.47,2945,198,188,-34.81,28,Commercial Description,Valid,0.0091,Low,0.8002,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019536051194118923,1126,Tier 4 - Long Tail
22125,UNION JACK HOT WATER BOTTLE,4089.09,3774.24,653,195,189,-314.85,63,Commercial Description,Valid,0.077,Moderate,0.7169,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00019524515184521897,1127,Tier 4 - Long Tail
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,4044.210000000001,3769.81,2987,251,240,-274.4,256,Commercial Description,Valid,0.0679,Moderate,0.8003,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00019501598358282065,1128,Tier 4 - Long Tail
85049C,ROMANTIC PINKS RIBBONS,3793.8,3762.55,3018,522,505,-31.25,25,Commercial Description,Valid,0.0082,Low,0.8005,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.000194640416633608,1129,Tier 4 - Long Tail
23542,70'S ALPHABET WALL ART,3800.16,3751.46,506,92,92,-48.7,6,Commercial Description,Valid,0.0128,Low,0.7055,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019406672001284105,1130,Tier 4 - Long Tail
71038,WHITE HANGING BEADS CANDLE HOLDER,3821.9500000000007,3751.1,723,157,154,-70.85,13,Commercial Description,Valid,0.0185,Low,0.7216,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019404809685833464,1131,Tier 4 - Long Tail
22292,"SPRING DEC , HANGING CHICK  YELLOW",3783.97,3749.17,2785,232,223,-34.8,24,Commercial Description,Valid,0.0092,Low,0.7967,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019394825605778638,1132,Tier 4 - Long Tail
23299,FOOD COVER WITH BEADS SET 2,3772.88,3742.88,1012,148,148,-30.0,8,Commercial Description,Valid,0.008,Low,0.7391,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019362286816377157,1133,Tier 4 - Long Tail
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,3840.3,3742.65,2465,269,262,-97.65,65,Commercial Description,Valid,0.0254,Low,0.7904,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019361097003728136,1134,Tier 4 - Long Tail
84016,FLAG OF ST GEORGE CAR FLAG,3791.67,3741.37,1004,78,72,-50.3,60,Commercial Description,Valid,0.0133,Low,0.7381,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001935447543768141,1135,Tier 4 - Long Tail
84356,POMPOM CURTAIN,3777.99,3736.29,751,137,136,-41.7,6,Commercial Description,Valid,0.011,Low,0.7234,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019328196097433476,1136,Tier 4 - Long Tail
85114B,IVORY ENCHANTED FOREST PLACEMAT,3731.39,3728.09,2066,232,224,-3.3,2,Commercial Description,Valid,0.0009,Low,0.7794,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001928577668994665,1137,Tier 4 - Long Tail
21795,SET OF 3 BLUE STRIPE BASKET,3734.94,3722.190000000001,441,82,82,-12.75,1,Commercial Description,Valid,0.0034,Low,0.6981,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019255255408950035,1138,Tier 4 - Long Tail
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,3904.65,3719.56,941,202,195,-185.09,45,Commercial Description,Valid,0.0474,Low,0.7337,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019241650159963403,1139,Tier 4 - Long Tail
35924,HANGING FAIRY CAKE DECORATION,4062.02,3714.34,2168,206,199,-347.68000000000006,205,Commercial Description,Valid,0.0856,Moderate,0.7816,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00019214646585929106,1140,Tier 4 - Long Tail
84558A,3D DOG PICTURE PLAYING CARDS,3787.43,3713.68,1311,215,200,-73.75,25,Commercial Description,Valid,0.0195,Low,0.7529,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019211232340936264,1141,Tier 4 - Long Tail
22782,SET 3 WICKER STORAGE BASKETS,3712.3,3712.3,254,84,84,0.0,0,Commercial Description,Valid,0.0,Low,0.6722,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001920409346504214,1142,Tier 4 - Long Tail
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,4390.6900000000005,3711.45,1589,233,224,-679.24,458,Commercial Description,Valid,0.1547,High,0.7639,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,High,True,False,True,Included,Included,0.00019199696331339235,1143,Tier 4 - Long Tail
21845,DAIRY MAID STRIPE MUG,3811.51,3700.47,2539,171,169,-111.04,64,Commercial Description,Valid,0.0291,Low,0.7908,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001914289571009468,1144,Tier 4 - Long Tail
23127,DOLLCRAFT GIRL NICOLE,3759.0,3694.65,736,199,197,-64.35000000000001,13,Commercial Description,Valid,0.0171,Low,0.7209,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019112788276975983,1145,Tier 4 - Long Tail
23092,LARGE ANTIQUE WHITE PHOTO FRAME,3757.780000000001,3680.03,523,144,144,-77.75,10,Commercial Description,Valid,0.0207,Low,0.7046,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019037157577286057,1146,Tier 4 - Long Tail
23182,TOILET SIGN OCCUPIED OR VACANT,3688.21,3676.59,3741,443,439,-11.62,14,Commercial Description,Valid,0.0032,Low,0.8065,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019019362118535485,1147,Tier 4 - Long Tail
20692,FLORAL ELEPHANT SOFT TOY,3682.76,3674.26,908,145,143,-8.5,2,Commercial Description,Valid,0.0023,Low,0.7311,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00019007308799091059,1148,Tier 4 - Long Tail
22398,MAGNETS PACK OF 4 SWALLOWS,3791.26,3671.26,4319,455,436,-120.0,96,Commercial Description,Valid,0.0317,Low,0.8116,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001899178950366905,1149,Tier 4 - Long Tail
21246,RED SPOTTY BIG BOWL,3695.53,3655.93,751,216,215,-39.60000000000001,8,Commercial Description,Valid,0.0107,Low,0.7216,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018912485904062576,1150,Tier 4 - Long Tail
22823,CHEST NATURAL WOOD 20 DRAWERS,3655.0,3655.0,32,20,20,0.0,0,Commercial Description,Valid,0.0,Low,0.6109,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018907674922481754,1151,Tier 4 - Long Tail
23013,GLASS APOTHECARY BOTTLE TONIC,3674.16,3650.46,924,227,226,-23.7,6,Commercial Description,Valid,0.0065,Low,0.7312,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001888418905540978,1152,Tier 4 - Long Tail
21866,UNION JACK FLAG LUGGAGE TAG,3681.14,3649.89,2209,474,456,-31.25,25,Commercial Description,Valid,0.0085,Low,0.781,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018881240389279598,1153,Tier 4 - Long Tail
23497,CLASSIC CHROME BICYCLE BELL,3656.02,3638.62,2558,201,196,-17.4,12,Commercial Description,Valid,0.0048,Low,0.7901,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018822939569477582,1154,Tier 4 - Long Tail
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",3697.54,3633.94,453,171,165,-63.6,8,Commercial Description,Valid,0.0172,Low,0.6971,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018798729468619247,1155,Tier 4 - Long Tail
85232D,SET/3 DECOUPAGE STACKING TINS,3696.87,3632.52,710,238,233,-64.35,13,Commercial Description,Valid,0.0174,Low,0.7175,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018791383668786163,1156,Tier 4 - Long Tail
20785,FUSCHIA RETRO BAR STOOL,3672.35,3632.4,102,41,40,-39.95,1,Commercial Description,Valid,0.0109,Low,0.6389,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018790762896969283,1157,Tier 4 - Long Tail
23191,BUNDLE OF 3 RETRO NOTE BOOKS,3628.89,3623.94,2201,289,283,-4.949999999999999,3,Commercial Description,Valid,0.0014,Low,0.7801,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018746998483879215,1158,Tier 4 - Long Tail
22603,CHRISTMAS RETROSPOT TREE WOOD,3633.86,3622.81,4223,417,390,-11.05,13,Commercial Description,Valid,0.003,Low,0.8096,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001874115288260359,1159,Tier 4 - Long Tail
84968F,S/16 VINTAGE SKY BLUE CUTLERY,3622.76,3622.76,301,136,132,0.0,0,Commercial Description,Valid,0.0,Low,0.6774,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018740894227679892,1160,Tier 4 - Long Tail
21509,COWBOYS AND INDIANS BIRTHDAY CARD,3631.99,3621.91,8805,637,630,-10.08,24,Commercial Description,Valid,0.0028,Low,0.8304,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018736497093976989,1161,Tier 4 - Long Tail
23091,ZINC HERB GARDEN CONTAINER,3656.32,3612.57,580,216,215,-43.75,7,Commercial Description,Valid,0.012,Low,0.7069,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018688180354229798,1162,Tier 4 - Long Tail
21191,LARGE WHITE HONEYCOMB PAPER BELL,3610.52,3610.52,1544,215,201,0.0,0,Commercial Description,Valid,0.0,Low,0.7598,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018677575502358093,1163,Tier 4 - Long Tail
23294,SET OF 6 SNACK LOAF BAKING CASES,3607.81,3597.02,4392,362,358,-10.79,13,Commercial Description,Valid,0.003,Low,0.8101,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018607738672959048,1164,Tier 4 - Long Tail
22704,WRAP RED APPLES,3617.26,3596.26,8803,302,297,-21.0,50,Commercial Description,Valid,0.0058,Low,0.8298,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018603807118118806,1165,Tier 4 - Long Tail
22902,dotcom email,3643.08,3592.6800000000003,1779,216,203,-50.400000000000006,24,Commercial Description,Valid,0.0138,Low,0.7674,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018585287425581875,1166,Tier 4 - Long Tail
21054,NURSE'S BAG SOFT TOY,3609.599999999999,3591.7,390,190,185,-17.9,2,Commercial Description,Valid,0.005,Low,0.6885,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001858021778907735,1167,Tier 4 - Long Tail
22531,MAGIC DRAWING SLATE CIRCUS PARADE,3586.9400000000005,3586.94,8302,430,406,0.0,0,Commercial Description,Valid,0.0,Low,0.828,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018555593840341095,1168,Tier 4 - Long Tail
85040A,S/4 PINK FLOWER CANDLES IN BOWL,3646.61,3574.01,2067,433,417,-72.60000000000001,44,Commercial Description,Valid,0.0199,Low,0.7752,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018488705677072235,1169,Tier 4 - Long Tail
22176,BLUE OWL SOFT TOY,3592.9000000000005,3566.3500000000004,1199,275,264,-26.55,9,Commercial Description,Valid,0.0074,Low,0.7447,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001844907974276137,1170,Tier 4 - Long Tail
20886,BOX OF 9 PEBBLE CANDLES,3577.8,3566.1,1787,323,311,-11.7,6,Commercial Description,Valid,0.0033,Low,0.767,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018447786468142867,1171,Tier 4 - Long Tail
84352,SILVER CHRISTMAS TREE BAUBLE STAND,3684.13,3565.48,216,140,133,-118.65,7,Commercial Description,Valid,0.0322,Low,0.6617,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018444579147088987,1172,Tier 4 - Long Tail
23111,PARISIENNE SEWING BOX,3839.24,3556.04,312,155,154,-283.2,24,Commercial Description,Valid,0.0738,Moderate,0.6771,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00018395745097494397,1173,Tier 4 - Long Tail
21179,NO JUNK MAIL METAL SIGN,3559.2300000000005,3554.55,4312,523,508,-4.68,12,Commercial Description,Valid,0.0013,Low,0.8082,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018388037180768133,1174,Tier 4 - Long Tail
21784,SHOE SHINE BOX,3617.88,3548.23,298,195,189,-69.65,7,Commercial Description,Valid,0.0193,Low,0.6749,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018355343198412432,1175,Tier 4 - Long Tail
22334,DINOSAUR PARTY BAG + STICKER SET,3578.76,3547.41,2246,274,268,-31.35,19,Commercial Description,Valid,0.0088,Low,0.7791,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018351101257663748,1176,Tier 4 - Long Tail
82494l,WOODEN FRAME ANTIQUE WHITE,3545.55,3545.55,424,88,86,0.0,0,Commercial Description,Valid,0.0,Low,0.691,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018341479294502105,1177,Tier 4 - Long Tail
23332,IVORY WICKER HEART LARGE,3542.71,3539.41,2059,297,288,-3.3,2,Commercial Description,Valid,0.0009,Low,0.7737,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018309716469871721,1178,Tier 4 - Long Tail
22076,6 RIBBONS EMPIRE,3535.83,3535.83,2376,390,376,0.0,0,Commercial Description,Valid,0.0,Low,0.782,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001829119677733479,1179,Tier 4 - Long Tail
20784,RED RETRO BAR STOOL,3570.87,3530.92,101,42,42,-39.95,1,Commercial Description,Valid,0.0112,Low,0.6355,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018265796863827435,1180,Tier 4 - Long Tail
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,3864.35,3522.15,1351,226,223,-342.20000000000005,132,Commercial Description,Valid,0.0886,Moderate,0.7494,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00018220428790210428,1181,Tier 4 - Long Tail
22452,MEASURING TAPE RUSSIAN DOLL PINK,3558.3,3519.9500000000003,1347,266,259,-38.35000000000001,13,Commercial Description,Valid,0.0108,Low,0.749,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018209047973567622,1182,Tier 4 - Long Tail
21466,RED FLOWER CROCHET FOOD COVER,3517.29,3517.29,937,280,275,0.0,0,Commercial Description,Valid,0.0,Low,0.7275,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018195287531626772,1183,Tier 4 - Long Tail
22822,CREAM WALL PLANTER HEART SHAPED,3522.8700000000003,3510.9700000000003,606,194,185,-11.9,2,Commercial Description,Valid,0.0034,Low,0.7059,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018162593549271073,1184,Tier 4 - Long Tail
22095,LADS ONLY TISSUE BOX,3628.17,3508.29,3368,319,291,-119.88,107,Commercial Description,Valid,0.033,Low,0.7968,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018148729645360744,1185,Tier 4 - Long Tail
21794,CLASSIC FRENCH STYLE BASKET NATURAL,3585.98,3506.63,716,187,184,-79.35000000000001,13,Commercial Description,Valid,0.0221,Low,0.714,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018140142301893898,1186,Tier 4 - Long Tail
23189,SET OF 12 FORK CANDLES,3507.51,3504.62,1249,143,142,-2.89,1,Commercial Description,Valid,0.0008,Low,0.7444,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001812974437396115,1187,Tier 4 - Long Tail
23353,6 GIFT TAGS VINTAGE CHRISTMAS,3510.05,3490.13,4007,333,329,-19.92,24,Commercial Description,Valid,0.0057,Low,0.804,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018054786177072846,1188,Tier 4 - Long Tail
22862,LOVE HEART NAPKIN BOX,3500.51,3483.51,781,241,224,-17.0,4,Commercial Description,Valid,0.0049,Low,0.7181,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018020540265174944,1189,Tier 4 - Long Tail
21507,"ELEPHANT, BIRTHDAY CARD,",3490.36,3480.28,8310,591,586,-10.08,24,Commercial Description,Valid,0.0029,Low,0.8251,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00018003831157103914,1190,Tier 4 - Long Tail
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,4049.83,3478.03,1811,221,213,-571.8000000000001,292,Commercial Description,Valid,0.1412,Moderate,0.7653,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.00017992191685537405,1191,Tier 4 - Long Tail
22939,APRON APPLE DELIGHT,3545.5,3476.2,705,189,185,-69.30000000000001,14,Commercial Description,Valid,0.0195,Low,0.7126,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001798272491532998,1192,Tier 4 - Long Tail
21327,SKULLS WRITING SET,3468.6900000000005,3468.69,1962,517,495,0.0,0,Commercial Description,Valid,0.0,Low,0.7691,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017943874945790215,1193,Tier 4 - Long Tail
23085,ANTIQUE SILVER BAUBLE LAMP,3583.23,3454.48,376,89,83,-128.75,13,Commercial Description,Valid,0.0359,Low,0.6834,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001787036521647463,1194,Tier 4 - Long Tail
20786,BLACK RETRO BAR STOOL,3533.9,3454.0,99,38,37,-79.9,2,Commercial Description,Valid,0.0226,Low,0.6326,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001786788212920711,1195,Tier 4 - Long Tail
21469,POLKA DOT RAFFIA FOOD COVER,3512.01,3444.51,1173,216,213,-67.5,50,Commercial Description,Valid,0.0192,Low,0.7399,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001781878942468882,1196,Tier 4 - Long Tail
22309,TEA COSY RED  STRIPE,3509.68,3443.38,1341,277,268,-66.3,26,Commercial Description,Valid,0.0189,Low,0.7467,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017812943823413194,1197,Tier 4 - Long Tail
47505,MINATURE COLOURED GARDENING SET,3527.42,3440.37,737,191,189,-87.05000000000001,19,Commercial Description,Valid,0.0247,Low,0.714,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017797372797006444,1198,Tier 4 - Long Tail
21679,SKULLS  STICKERS,4088.750000000001,3436.07,4931,382,375,-652.6800000000001,900,Commercial Description,Valid,0.1596,High,0.8091,High Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,High,True,False,True,Included,Included,0.00017775128473568232,1199,Tier 4 - Long Tail
23388,WOODLAND MINI BACKPACK,3432.09,3432.09,821,154,154,0.0,0,Commercial Description,Valid,0.0,Low,0.719,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017754539541641698,1200,Tier 4 - Long Tail
22428,ENAMEL FIRE BUCKET CREAM,3533.63,3429.38,479,216,204,-104.25,15,Commercial Description,Valid,0.0295,Low,0.6936,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017740520444777148,1201,Tier 4 - Long Tail
21364,PEACE SMALL WOOD LETTERS,3441.47,3427.9700000000003,473,173,170,-13.5,2,Commercial Description,Valid,0.0039,Low,0.6927,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017733226375928805,1202,Tier 4 - Long Tail
23426,METAL SIGN DROP YOUR PANTS,3444.43,3427.09,1275,209,207,-17.34,6,Commercial Description,Valid,0.005,Low,0.7437,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017728674049271684,1203,Tier 4 - Long Tail
22320,BIRDS MOBILE VINTAGE DESIGN,3562.87,3426.02,601,191,190,-136.85,23,Commercial Description,Valid,0.0384,Low,0.7029,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017723138833904497,1204,Tier 4 - Long Tail
37340,MULTICOLOUR SPRING FLOWER MUG,3927.08,3425.86,13674,216,209,-501.2200000000001,4996,Commercial Description,Valid,0.1276,Moderate,0.8321,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Moderate,True,False,True,Included,Included,0.0001772231113814866,1205,Tier 4 - Long Tail
21902,"KEY FOB , FRONT  DOOR",3461.69,3424.64,5440,504,480,-37.05,57,Commercial Description,Valid,0.0107,Low,0.8119,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.00017715999958010372,1206,Tier 4 - Long Tail
22459,CAST IRON HOOK GARDEN TROWEL,3420.1799999999994,3420.18,1386,185,176,0.0,0,Commercial Description,Valid,0.0,Low,0.7473,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 4 - Long Tail,Low / Not Applicable,True,False,True,Included,Included,0.0001769292793881632,1207,Tier 4 - Long Tail
