StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification
21899,"KEY FOB , GARAGE DESIGN",4398.08,4354.53,6783,653,629,-43.55,67,Commercial Description,Valid,0.0099,Low,0.8453,Core Commercial Product
22291,"SPRING DEC , HANGING CHICK CREAM",4412.93,4343.33,3193,271,266,-69.6,48,Commercial Description,Valid,0.0158,Low,0.8194,Core Commercial Product
15039,SANDALWOOD FAN,4360.03,4337.08,5117,315,310,-22.95,27,Commercial Description,Valid,0.0053,Low,0.8364,Core Commercial Product
22611,VINTAGE UNION JACK SHOPPING BAG,4348.799999999999,4329.0,908,203,197,-19.8,4,Commercial Description,Valid,0.0046,Low,0.7502,Core Commercial Product
22497,SET OF 2 TINS VINTAGE BATHROOM,4345.08,4323.83,946,293,282,-21.25,5,Commercial Description,Valid,0.0049,Low,0.7519,Core Commercial Product
22530,MAGIC DRAWING SLATE DOLLY GIRL,4343.16,4323.0,10270,493,470,-20.16,48,Commercial Description,Valid,0.0046,Low,0.8539,Core Commercial Product
23349,ROLL WRAP VINTAGE CHRISTMAS,4342.6,4312.6,3221,345,339,-30.0,24,Commercial Description,Valid,0.0069,Low,0.819,Core Commercial Product
47580,TEA TIME DES TEA COSY,4395.26,4311.11,1693,365,348,-84.14999999999999,33,Commercial Description,Valid,0.0191,Low,0.7857,Core Commercial Product
85053,FRENCH ENAMEL CANDLEHOLDER,4382.219999999999,4297.76,2037,408,398,-84.46,41,Commercial Description,Valid,0.0193,Low,0.7957,Core Commercial Product
21556,CERAMIC STRAWBERRY MONEY BOX,4305.450000000001,4295.25,1626,310,300,-10.2,4,Commercial Description,Valid,0.0024,Low,0.7831,Core Commercial Product
22600,CHRISTMAS RETROSPOT STAR WOOD,4317.5,4293.7,4958,453,432,-23.799999999999997,28,Commercial Description,Valid,0.0055,Low,0.8341,Core Commercial Product
22425,ENAMEL COLLANDER CREAM,4401.8,4289.25,866,318,308,-112.55,25,Commercial Description,Valid,0.0256,Low,0.7464,Core Commercial Product
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,4591.539999999999,4286.73,5591,416,406,-304.81,421,Commercial Description,Valid,0.0664,Moderate,0.8379,Monitor Return Risk
22202,MILK PAN PINK RETROSPOT,4400.120000000001,4283.87,1090,290,284,-116.25,31,Commercial Description,Valid,0.0264,Low,0.76,Core Commercial Product
79320,FLAMINGO LIGHTS,4357.38,4280.28,904,163,163,-77.1,16,Commercial Description,Valid,0.0177,Low,0.7484,Core Commercial Product
21537,RETRO SPOTS PUDDING BOWL,4526.59,4279.59,1049,283,271,-247.0,64,Commercial Description,Valid,0.0546,Moderate,0.7571,Monitor Return Risk
21245,GREEN  SPOTTY PLATE,4285.26,4278.5,2577,312,305,-6.76,4,Commercial Description,Valid,0.0016,Low,0.8087,Core Commercial Product
23050,RECYCLED ACAPULCO MAT GREEN,4286.550000000001,4278.3,497,206,206,-8.25,1,Commercial Description,Valid,0.0019,Low,0.7196,Core Commercial Product
20665,RED SPOTTY PURSE,4371.47,4277.070000000001,1366,370,356,-94.40000000000002,32,Commercial Description,Valid,0.0216,Low,0.7718,Core Commercial Product
20982,12 PENCILS TALL TUBE SKULLS,4298.2,4273.55,4915,602,582,-24.650000000000002,29,Commercial Description,Valid,0.0057,Low,0.8326,Core Commercial Product
21153,RED SPOTTY TABLECLOTH,4294.6900000000005,4273.39,393,143,143,-21.3,2,Commercial Description,Valid,0.005,Low,0.7083,Core Commercial Product
23112,PARISIENNE CURIO CABINET,4507.08,4267.2300000000005,546,260,260,-239.85000000000002,33,Commercial Description,Valid,0.0532,Moderate,0.7225,Monitor Return Risk
22723,SET OF 6 HERB TINS SKETCHBOOK,4262.82,4254.92,1164,300,297,-7.9,2,Commercial Description,Valid,0.0019,Low,0.7624,Core Commercial Product
22285,"DECORATION HEN ON NEST, HANGING",4274.530000000001,4254.7300000000005,2719,276,265,-19.8,12,Commercial Description,Valid,0.0046,Low,0.8099,Core Commercial Product
21355,TOAST ITS - I LOVE YOU,4308.08,4248.08,3521,361,346,-60.0,48,Commercial Description,Valid,0.0139,Low,0.8203,Core Commercial Product
22670,FRENCH WC SIGN BLUE METAL,5588.110000000001,4247.55,4490,448,430,-1340.56,1160,Commercial Description,Valid,0.2399,High,0.8291,High Return Risk
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,4320.08,4245.08,1139,328,301,-75.0,20,Commercial Description,Valid,0.0174,Low,0.7605,Core Commercial Product
84598,BOYS ALPHABET IRON ON PATCHES,4360.46,4239.5,20799,224,220,-120.96,576,Commercial Description,Valid,0.0277,Low,0.8602,Core Commercial Product
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,4230.55,4230.55,1513,227,220,0.0,0,Commercial Description,Valid,0.0,Low,0.7763,Core Commercial Product
22744,MAKE YOUR OWN MONSOON CARD KIT,4392.75,4229.05,1557,323,304,-163.70000000000002,62,Commercial Description,Valid,0.0373,Low,0.7779,Core Commercial Product
70006,LOVE HEART POCKET WARMER,4229.620000000001,4227.18,4476,311,292,-2.44,2,Commercial Description,Valid,0.0006,Low,0.8284,Core Commercial Product
21470,FLOWER VINE RAFFIA FOOD COVER,4258.67,4224.92,1118,333,323,-33.75,9,Commercial Description,Valid,0.0079,Low,0.7588,Core Commercial Product
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.91999999998,4221.28,78033,260,257,-77479.64000000001,74494,Commercial Description,Valid,0.9483,Very High,0.8632,High Return Risk
22892,SALT AND PEPPER SHAKERS TOADSTOOLS,4367.0599999999995,4218.37,3556,321,317,-148.69,123,Commercial Description,Valid,0.034,Low,0.8196,Core Commercial Product
23237,SET OF 4 KNICK KNACK TINS LEAVES,4274.389999999999,4205.04,1053,187,187,-69.35,17,Commercial Description,Valid,0.0162,Low,0.7548,Core Commercial Product
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,4538.17,4202.120000000001,1627,206,203,-336.05,131,Commercial Description,Valid,0.074,Moderate,0.7798,Monitor Return Risk
23089,GLASS BON BON JAR,4215.780000000001,4190.13,2354,235,232,-25.65,15,Commercial Description,Valid,0.0061,Low,0.8002,Core Commercial Product
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",4184.95,4184.95,1005,172,172,0.0,0,Commercial Description,Valid,0.0,Low,0.7512,Core Commercial Product
22454,MEASURING TAPE RUSSIAN DOLL RED,4237.09,4172.1900000000005,1515,197,182,-64.9,22,Commercial Description,Valid,0.0153,Low,0.775,Core Commercial Product
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,4419.75,4171.0,1546,277,266,-248.75,309,Commercial Description,Valid,0.0563,Moderate,0.7763,Monitor Return Risk
23012,GLASS APOTHECARY BOTTLE PERFUME,4197.110000000001,4165.51,1071,253,251,-31.6,8,Commercial Description,Valid,0.0075,Low,0.7551,Core Commercial Product
22807,SET OF 6 T-LIGHTS TOADSTOOLS,4213.47,4162.22,1412,313,297,-51.25000000000001,19,Commercial Description,Valid,0.0122,Low,0.7705,Core Commercial Product
22851,SET 20 NAPKINS FAIRY CAKES DESIGN,4228.01,4161.71,5195,548,527,-66.3,78,Commercial Description,Valid,0.0157,Low,0.8318,Core Commercial Product
23144,ZINC T-LIGHT HOLDER STARS SMALL,4197.83,4161.31,5089,278,277,-36.52,44,Commercial Description,Valid,0.0087,Low,0.8308,Core Commercial Product
84580,MOUSE TOY WITH PINK T-SHIRT,4148.45,4133.45,1082,463,443,-15.0,4,Commercial Description,Valid,0.0036,Low,0.7553,Core Commercial Product
23306,SET OF 36 DOILIES PANTRY DESIGN,4123.379999999999,4113.23,2808,285,283,-10.149999999999999,7,Commercial Description,Valid,0.0025,Low,0.8086,Core Commercial Product
21472,LADYBIRD + BEE RAFFIA FOOD COVER,4111.57,4111.57,1065,294,288,0.0,0,Commercial Description,Valid,0.0,Low,0.754,Core Commercial Product
23167,SMALL CERAMIC TOP STORAGE JAR,4476.010000000001,4110.82,5847,247,240,-365.18999999999994,525,Commercial Description,Valid,0.0816,Moderate,0.8349,Monitor Return Risk
21590,KINGS CHOICE CIGAR BOX MATCHES,4141.28,4108.78,3448,298,289,-32.5,26,Commercial Description,Valid,0.0078,Low,0.8161,Core Commercial Product
21911,GARDEN METAL SIGN,4120.69,4100.89,2566,356,348,-19.8,12,Commercial Description,Valid,0.0048,Low,0.8041,Core Commercial Product
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4117.200000000001,4092.0000000000005,2021,297,288,-25.200000000000003,12,Commercial Description,Valid,0.0061,Low,0.7897,Core Commercial Product
23009,I LOVE LONDON BABY GIFT SET,4082.5199999999986,4082.52,263,103,103,0.0,0,Commercial Description,Valid,0.0,Low,0.6857,Core Commercial Product
16161U,"WRAP,SUKI AND FRIENDS",4105.92,4074.42,10076,323,321,-31.5,75,Commercial Description,Valid,0.0077,Low,0.8471,Core Commercial Product
22314,OFFICE MUG WARMER CHOC+BLUE,4085.88,4070.0800000000004,1162,272,251,-15.8,4,Commercial Description,Valid,0.0039,Low,0.7582,Core Commercial Product
22639,SET OF 4 NAPKIN CHARMS HEARTS,4082.24,4066.94,1673,292,278,-15.3,6,Commercial Description,Valid,0.0037,Low,0.7787,Core Commercial Product
22127,PARTY CONES CARNIVAL ASSORTED,4183.110000000001,4060.8,3492,168,162,-122.31,98,Commercial Description,Valid,0.0292,Low,0.8158,Core Commercial Product
23255,CHILDRENS CUTLERY CIRCUS PARADE,4097.219999999999,4059.87,1014,161,161,-37.35,9,Commercial Description,Valid,0.0091,Low,0.7495,Core Commercial Product
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,4105.94,4059.22,6244,740,728,-46.72,48,Commercial Description,Valid,0.0114,Low,0.8354,Core Commercial Product
20981,12 PENCILS TALL TUBE WOODLAND,4118.339999999999,4051.1899999999996,4773,534,520,-67.14999999999999,79,Commercial Description,Valid,0.0163,Low,0.8265,Core Commercial Product
21474,SWEETHEART CREAM STEEL FOLDIN BENCH,4189.499999999998,4049.85,210,100,100,-139.65,7,Commercial Description,Valid,0.0333,Low,0.6753,Core Commercial Product
22731,3D CHRISTMAS STAMPS STICKERS,4090.66,4048.16,3054,289,268,-42.5,34,Commercial Description,Valid,0.0104,Low,0.8099,Core Commercial Product
21349,IVY HEART WREATH,4125.83,4044.83,565,185,176,-81.0,12,Commercial Description,Valid,0.0196,Low,0.7191,Core Commercial Product
21901,"KEY FOB , BACK DOOR",4141.96,4042.51,6274,727,694,-99.44999999999999,153,Commercial Description,Valid,0.024,Low,0.8351,Core Commercial Product
23193,BUFFALO BILL TREASURE BOOK BOX,4079.2799999999993,4034.28,1922,181,181,-45.0,20,Commercial Description,Valid,0.011,Low,0.7853,Core Commercial Product
23340,VINTAGE CHRISTMAS CAKE FRILL,4034.08,4034.08,2500,152,151,0.0,0,Commercial Description,Valid,0.0,Low,0.8004,Core Commercial Product
22445,PENCIL CASE LIFE IS BEAUTIFUL,4025.5700000000006,4025.5700000000006,1312,293,276,0.0,0,Commercial Description,Valid,0.0,Low,0.7631,Core Commercial Product
22777,GLASS CLOCHE LARGE,4075.06,4024.91,481,116,108,-50.15,6,Commercial Description,Valid,0.0123,Low,0.7117,Core Commercial Product
21743,STAR PORTABLE TABLE LIGHT,4197.77,4023.7200000000003,1443,206,188,-174.05000000000004,59,Commercial Description,Valid,0.0415,Low,0.7684,Core Commercial Product
21717,EASTER TIN BUCKET,4044.6900000000005,4021.74,1555,181,180,-22.95,9,Commercial Description,Valid,0.0057,Low,0.7726,Core Commercial Product
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",4046.49,4018.44,4697,435,422,-28.05,33,Commercial Description,Valid,0.0069,Low,0.8245,Core Commercial Product
22053,EMPIRE DESIGN ROSETTE,4020.89,4018.39,4551,89,89,-2.5,2,Commercial Description,Valid,0.0006,Low,0.8234,Core Commercial Product
85206A,CREAM FELT EASTER EGG BASKET,4022.5100000000007,4006.01,2351,329,324,-16.5,10,Commercial Description,Valid,0.0041,Low,0.7955,Core Commercial Product
22284,HEN HOUSE DECORATION,4040.8999999999996,3998.0,2478,311,304,-42.9,26,Commercial Description,Valid,0.0106,Low,0.7989,Core Commercial Product
23129,HEART SHAPED HOLLY WREATH,3999.5,3995.35,950,173,173,-4.15,1,Commercial Description,Valid,0.001,Low,0.7429,Core Commercial Product
23194,GYMKHANNA TREASURE BOOK BOX,4077.37,3994.12,1835,225,222,-83.25,37,Commercial Description,Valid,0.0204,Low,0.7815,Core Commercial Product
85123a,WHITE HANGING HEART T-LIGHT HOLDER,3992.3899999999994,3992.39,597,101,99,0.0,0,Commercial Description,Valid,0.0,Low,0.7197,Core Commercial Product
22788,BROCANTE COAT RACK,4073.41,3989.66,486,97,89,-83.75000000000001,9,Commercial Description,Valid,0.0206,Low,0.7108,Core Commercial Product
23081,GREEN METAL BOX ARMY SUPPLIES,4038.25,3988.75,483,142,142,-49.5,6,Commercial Description,Valid,0.0123,Low,0.7105,Core Commercial Product
22359,temp,4099.42,3984.37,1290,229,222,-115.05000000000003,39,Commercial Description,Valid,0.0281,Low,0.7608,Core Commercial Product
21192,WHITE BELL HONEYCOMB PAPER,4040.5900000000006,3970.99,2235,244,219,-69.6,48,Commercial Description,Valid,0.0172,Low,0.7916,Core Commercial Product
22612,TEA COSY VINTAGE UNION JACK,3984.99,3969.99,1001,113,111,-15.0,4,Commercial Description,Valid,0.0038,Low,0.7453,Core Commercial Product
21055,TOOL BOX SOFT TOY,4032.3099999999995,3969.66,404,233,224,-62.650000000000006,7,Commercial Description,Valid,0.0155,Low,0.7013,Core Commercial Product
22797,CHEST OF DRAWERS GINGHAM HEART,4375.259999999999,3963.5099999999998,250,163,157,-411.7499999999999,25,Commercial Description,Valid,0.0941,Moderate,0.6791,Monitor Return Risk
23130,MISTLETOE HEART WREATH GREEN,3988.9800000000005,3951.63,962,186,186,-37.35,9,Commercial Description,Valid,0.0094,Low,0.7425,Core Commercial Product
23486,ANTIQUE HEART SHELF UNIT,4145.469999999999,3945.82,275,80,80,-199.65000000000003,13,Commercial Description,Valid,0.0482,Low,0.6834,Core Commercial Product
22118,JOY WOODEN BLOCK LETTERS,3953.9000000000005,3944.0,816,288,273,-9.9,2,Commercial Description,Valid,0.0025,Low,0.7338,Core Commercial Product
23557,LANDMARK FRAME BAKER STREET,3930.27,3930.27,350,32,32,0.0,0,Commercial Description,Valid,0.0,Low,0.6944,Core Commercial Product
22272,FELTCRAFT DOLL MARIA,3928.01,3925.0600000000004,1396,320,304,-2.95,1,Commercial Description,Valid,0.0008,Low,0.7636,Core Commercial Product
22536,MAGIC DRAWING SLATE PURDEY,3977.3500000000004,3924.91,10162,393,368,-52.440000000000005,142,Commercial Description,Valid,0.0132,Low,0.8427,Core Commercial Product
21812,GARLAND WITH HEARTS AND BELLS,4076.9700000000003,3918.57,833,218,209,-158.4,32,Commercial Description,Valid,0.0389,Low,0.7341,Core Commercial Product
22057,CERAMIC PLATE STRAWBERRY DESIGN,4035.5699999999997,3913.39,3076,274,272,-122.17999999999999,82,Commercial Description,Valid,0.0303,Low,0.8062,Core Commercial Product
46000M,POLYESTER FILLER PAD 45x45cm,3932.35,3899.8,2537,378,372,-32.55,21,Commercial Description,Valid,0.0083,Low,0.7977,Core Commercial Product
22475,SKULL DESIGN TV DINNER TRAY,3925.63,3895.93,778,269,259,-29.700000000000003,6,Commercial Description,Valid,0.0076,Low,0.7307,Core Commercial Product
22790,"MIRROR, ARCHED GEORGIAN",3884.000000000001,3884.000000000001,200,1,1,0.0,0,Commercial Description,Valid,0.0,Low,0.6692,Core Commercial Product
23552,BICYCLE PUNCTURE REPAIR KIT,3881.9100000000008,3881.91,1863,123,116,0.0,0,Commercial Description,Valid,0.0,Low,0.78,Core Commercial Product
23049,RECYCLED ACAPULCO MAT RED,3896.8399999999997,3872.09,456,188,188,-24.75,3,Commercial Description,Valid,0.0064,Low,0.7052,Core Commercial Product
21447,12 IVORY ROSE PEG PLACE SETTINGS,3868.8900000000003,3867.64,2796,349,339,-1.25,1,Commercial Description,Valid,0.0003,Low,0.8016,Core Commercial Product
22341,LOVE GARLAND PAINTED ZINC,5725.41,3867.21,3481,254,249,-1858.1999999999998,1196,Commercial Description,Valid,0.3246,Very High,0.8101,High Return Risk
22778,GLASS CLOCHE SMALL,4119.49,3864.77,1045,235,216,-254.71999999999994,72,Commercial Description,Valid,0.0618,Moderate,0.746,Monitor Return Risk
21987,PACK OF 6 SKULL PAPER CUPS,3999.11,3861.06,6434,399,389,-138.05,301,Commercial Description,Valid,0.0345,Low,0.8313,Core Commercial Product
22478,BIRDHOUSE GARDEN MARKER,3859.69,3857.19,2778,323,319,-2.5,2,Commercial Description,Valid,0.0006,Low,0.8007,Core Commercial Product
23110,PARISIENNE KEY CABINET,4147.18,3853.93,700,284,283,-293.25,51,Commercial Description,Valid,0.0707,Moderate,0.7243,Monitor Return Risk
21813,GARLAND WITH STARS AND BELLS,3957.7000000000007,3853.75,842,203,188,-103.95000000000002,21,Commercial Description,Valid,0.0263,Low,0.7331,Core Commercial Product
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,3932.75,3852.9500000000003,1888,278,265,-79.8,38,Commercial Description,Valid,0.0203,Low,0.7795,Core Commercial Product
21034,REX CASH+CARRY JUMBO SHOPPER,3875.9999999999995,3849.4,4080,2052,1912,-26.6,28,Commercial Description,Valid,0.0069,Low,0.8157,Core Commercial Product
22959,WRAP CHRISTMAS VILLAGE,3987.42,3840.42,9751,296,293,-147.0,350,Commercial Description,Valid,0.0369,Low,0.8395,Core Commercial Product
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,3920.8999999999996,3839.2999999999997,7286,597,558,-81.6,96,Commercial Description,Valid,0.0208,Low,0.8332,Core Commercial Product
21067,VINTAGE RED TEATIME MUG,3873.2200000000003,3833.46,4792,281,276,-39.760000000000005,36,Commercial Description,Valid,0.0103,Low,0.8201,Core Commercial Product
22162,HEART GARLAND RUSTIC PADDED,3868.61,3833.21,1258,284,266,-35.400000000000006,12,Commercial Description,Valid,0.0092,Low,0.7553,Core Commercial Product
21846,PINK DIAMANTE PEN IN GIFT BOX,3907.4000000000005,3825.5499999999997,1625,277,267,-81.85000000000001,27,Commercial Description,Valid,0.0209,Low,0.7698,Core Commercial Product
21351,CINAMMON & ORANGE WREATH,3911.1,3819.15,1132,191,183,-91.95,25,Commercial Description,Valid,0.0235,Low,0.7489,Core Commercial Product
23253,16 PIECE CUTLERY SET PANTRY DESIGN,3848.8600000000006,3816.96,258,72,72,-31.9,2,Commercial Description,Valid,0.0083,Low,0.6769,Core Commercial Product
22458,CAST IRON HOOK GARDEN FORK,3815.8500000000004,3815.85,1530,181,175,0.0,0,Commercial Description,Valid,0.0,Low,0.7658,Core Commercial Product
21329,DINOSAURS  WRITING SET,3845.65,3812.65,2119,578,557,-33.0,20,Commercial Description,Valid,0.0086,Low,0.7839,Core Commercial Product
23131,MISTLETOE HEART WREATH CREAM,3835.9799999999996,3811.08,942,121,120,-24.9,6,Commercial Description,Valid,0.0065,Low,0.7372,Core Commercial Product
22765,NEWSPAPER STAND,3825.25,3810.2999999999997,338,60,55,-14.95,1,Commercial Description,Valid,0.0039,Low,0.6892,Core Commercial Product
21100,CHARLIE AND LOLA CHARLOTTE BAG,3812.58,3805.98,2546,282,276,-6.6,4,Commercial Description,Valid,0.0017,Low,0.795,Core Commercial Product
22962,Mailout,3872.05,3799.93,4630,403,377,-72.11999999999999,85,Commercial Description,Valid,0.0186,Low,0.8177,Core Commercial Product
22494,EMERGENCY FIRST AID TIN,3855.98,3792.23,2859,498,481,-63.75,51,Commercial Description,Valid,0.0165,Low,0.7997,Core Commercial Product
21627,ELEPHANT CARNIVAL POUFFE,3870.7799999999993,3792.08,200,122,118,-78.7,6,Commercial Description,Valid,0.0203,Low,0.6658,Core Commercial Product
22843,BISCUIT TIN VINTAGE GREEN,3899.0099999999998,3791.81,601,199,193,-107.2,16,Commercial Description,Valid,0.0275,Low,0.714,Core Commercial Product
22589,CARDHOLDER GINGHAM STAR,3835.32,3789.42,1385,255,239,-45.9,18,Commercial Description,Valid,0.012,Low,0.7586,Core Commercial Product
22544,MINI JIGSAW SPACEBOY,3825.2999999999997,3787.08,9541,358,343,-38.22,91,Commercial Description,Valid,0.01,Low,0.8368,Core Commercial Product
22980,PANTRY SCRUBBING BRUSH,3910.0099999999998,3785.96,2363,300,297,-124.05,81,Commercial Description,Valid,0.0317,Low,0.789,Core Commercial Product
21486,PINK HEART DOTS HOT WATER BOTTLE,3786.55,3782.8,1152,311,296,-3.75,1,Commercial Description,Valid,0.001,Low,0.7484,Core Commercial Product
23032,DRAWER KNOB CRACKLE GLAZE IVORY,3853.6800000000003,3777.78,2328,215,211,-75.9,46,Commercial Description,Valid,0.0197,Low,0.7878,Core Commercial Product
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,3811.2799999999997,3776.47,2945,198,188,-34.81,28,Commercial Description,Valid,0.0091,Low,0.8002,Core Commercial Product
22125,UNION JACK HOT WATER BOTTLE,4089.0899999999997,3774.2400000000002,653,195,189,-314.85,63,Commercial Description,Valid,0.077,Moderate,0.7169,Monitor Return Risk
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,4044.2100000000005,3769.81,2987,251,240,-274.4,256,Commercial Description,Valid,0.0679,Moderate,0.8003,Monitor Return Risk
85049C,ROMANTIC PINKS RIBBONS,3793.7999999999997,3762.55,3018,522,505,-31.25,25,Commercial Description,Valid,0.0082,Low,0.8005,Core Commercial Product
23542,70'S ALPHABET WALL ART,3800.1600000000003,3751.46,506,92,92,-48.7,6,Commercial Description,Valid,0.0128,Low,0.7055,Core Commercial Product
71038,WHITE HANGING BEADS CANDLE HOLDER,3821.9500000000007,3751.1,723,157,154,-70.85,13,Commercial Description,Valid,0.0185,Low,0.7216,Core Commercial Product
22292,"SPRING DEC , HANGING CHICK  YELLOW",3783.9700000000003,3749.1699999999996,2785,232,223,-34.8,24,Commercial Description,Valid,0.0092,Low,0.7967,Core Commercial Product
23299,FOOD COVER WITH BEADS SET 2,3772.88,3742.88,1012,148,148,-30.0,8,Commercial Description,Valid,0.008,Low,0.7391,Core Commercial Product
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,3840.2999999999997,3742.6499999999996,2465,269,262,-97.64999999999999,65,Commercial Description,Valid,0.0254,Low,0.7904,Core Commercial Product
84016,FLAG OF ST GEORGE CAR FLAG,3791.6699999999996,3741.3700000000003,1004,78,72,-50.3,60,Commercial Description,Valid,0.0133,Low,0.7381,Core Commercial Product
84356,POMPOM CURTAIN,3777.9900000000002,3736.29,751,137,136,-41.7,6,Commercial Description,Valid,0.011,Low,0.7234,Core Commercial Product
85114B,IVORY ENCHANTED FOREST PLACEMAT,3731.3900000000003,3728.09,2066,232,224,-3.3,2,Commercial Description,Valid,0.0009,Low,0.7794,Core Commercial Product
21795,SET OF 3 BLUE STRIPE BASKET,3734.94,3722.1900000000005,441,82,82,-12.75,1,Commercial Description,Valid,0.0034,Low,0.6981,Core Commercial Product
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,3904.6499999999996,3719.56,941,202,195,-185.09,45,Commercial Description,Valid,0.0474,Low,0.7337,Core Commercial Product
35924,HANGING FAIRY CAKE DECORATION,4062.0200000000004,3714.34,2168,206,199,-347.68000000000006,205,Commercial Description,Valid,0.0856,Moderate,0.7816,Monitor Return Risk
84558A,3D DOG PICTURE PLAYING CARDS,3787.4300000000003,3713.6800000000003,1311,215,200,-73.75,25,Commercial Description,Valid,0.0195,Low,0.7529,Core Commercial Product
22782,SET 3 WICKER STORAGE BASKETS,3712.2999999999997,3712.2999999999997,254,84,84,0.0,0,Commercial Description,Valid,0.0,Low,0.6722,Core Commercial Product
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,4390.6900000000005,3711.45,1589,233,224,-679.24,458,Commercial Description,Valid,0.1547,High,0.7639,High Return Risk
21845,DAIRY MAID STRIPE MUG,3811.51,3700.4700000000003,2539,171,169,-111.03999999999999,64,Commercial Description,Valid,0.0291,Low,0.7908,Core Commercial Product
23127,DOLLCRAFT GIRL NICOLE,3759.0,3694.65,736,199,197,-64.35000000000001,13,Commercial Description,Valid,0.0171,Low,0.7209,Core Commercial Product
23092,LARGE ANTIQUE WHITE PHOTO FRAME,3757.780000000001,3680.03,523,144,144,-77.75,10,Commercial Description,Valid,0.0207,Low,0.7046,Core Commercial Product
23182,TOILET SIGN OCCUPIED OR VACANT,3688.21,3676.59,3741,443,439,-11.62,14,Commercial Description,Valid,0.0032,Low,0.8065,Core Commercial Product
20692,FLORAL ELEPHANT SOFT TOY,3682.76,3674.26,908,145,143,-8.5,2,Commercial Description,Valid,0.0023,Low,0.7311,Core Commercial Product
22398,MAGNETS PACK OF 4 SWALLOWS,3791.26,3671.2599999999998,4319,455,436,-120.0,96,Commercial Description,Valid,0.0317,Low,0.8116,Core Commercial Product
21246,RED SPOTTY BIG BOWL,3695.5299999999997,3655.9300000000003,751,216,215,-39.60000000000001,8,Commercial Description,Valid,0.0107,Low,0.7216,Core Commercial Product
22823,CHEST NATURAL WOOD 20 DRAWERS,3655.0,3655.0,32,20,20,0.0,0,Commercial Description,Valid,0.0,Low,0.6109,Core Commercial Product
23013,GLASS APOTHECARY BOTTLE TONIC,3674.1600000000003,3650.46,924,227,226,-23.7,6,Commercial Description,Valid,0.0065,Low,0.7312,Core Commercial Product
21866,UNION JACK FLAG LUGGAGE TAG,3681.14,3649.89,2209,474,456,-31.25,25,Commercial Description,Valid,0.0085,Low,0.781,Core Commercial Product
23497,CLASSIC CHROME BICYCLE BELL,3656.0199999999995,3638.62,2558,201,196,-17.4,12,Commercial Description,Valid,0.0048,Low,0.7901,Core Commercial Product
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",3697.5399999999995,3633.94,453,171,165,-63.6,8,Commercial Description,Valid,0.0172,Low,0.6971,Core Commercial Product
85232D,SET/3 DECOUPAGE STACKING TINS,3696.87,3632.52,710,238,233,-64.35,13,Commercial Description,Valid,0.0174,Low,0.7175,Core Commercial Product
20785,FUSCHIA RETRO BAR STOOL,3672.35,3632.4,102,41,40,-39.95,1,Commercial Description,Valid,0.0109,Low,0.6389,Core Commercial Product
23191,BUNDLE OF 3 RETRO NOTE BOOKS,3628.8900000000003,3623.94,2201,289,283,-4.949999999999999,3,Commercial Description,Valid,0.0014,Low,0.7801,Core Commercial Product
22603,CHRISTMAS RETROSPOT TREE WOOD,3633.8599999999997,3622.81,4223,417,390,-11.049999999999999,13,Commercial Description,Valid,0.003,Low,0.8096,Core Commercial Product
84968F,S/16 VINTAGE SKY BLUE CUTLERY,3622.76,3622.7599999999998,301,136,132,0.0,0,Commercial Description,Valid,0.0,Low,0.6774,Core Commercial Product
21509,COWBOYS AND INDIANS BIRTHDAY CARD,3631.99,3621.91,8805,637,630,-10.08,24,Commercial Description,Valid,0.0028,Low,0.8304,Core Commercial Product
23091,ZINC HERB GARDEN CONTAINER,3656.32,3612.57,580,216,215,-43.75,7,Commercial Description,Valid,0.012,Low,0.7069,Core Commercial Product
21191,LARGE WHITE HONEYCOMB PAPER BELL,3610.5200000000004,3610.52,1544,215,201,0.0,0,Commercial Description,Valid,0.0,Low,0.7598,Core Commercial Product
23294,SET OF 6 SNACK LOAF BAKING CASES,3607.8099999999995,3597.02,4392,362,358,-10.79,13,Commercial Description,Valid,0.003,Low,0.8101,Core Commercial Product
22704,WRAP RED APPLES,3617.26,3596.26,8803,302,297,-21.0,50,Commercial Description,Valid,0.0058,Low,0.8298,Core Commercial Product
